Country Name,rate,Income
Libya,12.4,Upper-middle
St. Lucia,16.6,High
Liechtenstein,,Low
Sri Lanka,8.8,Upper-middle
Lesotho,85.9,Low
Lithuania,4.3,Lower-middle
Luxembourg,2.6,High
Latvia,4.2,High
St. Martin (French part),,High
Morocco,23.3,High
Monaco,3.3,Lower-middle
Moldova,15.5,Upper-middle
Madagascar,44.2,Upper-middle
Maldives,7.9,Lower-middle
Mexico,13.4,Lower-middle
Marshall Islands,34,High
North Macedonia,13.7,Low
Mali,106,High
Malta,6.4,Upper-middle
Myanmar,48.6,High
Montenegro,3.5,Upper-middle
Mongolia,17.2,High
Northern Mariana Islands,,Low
Mozambique,72.4,High
Mauritania,79,Lower-middle
Mauritius,13.1,Lower-middle
Malawi,55.4,High
Malaysia,7.9,Lower-middle
Namibia,44.2,Lower-middle
New Caledonia,,High
Niger,84.5,Low
Nigeria,100.2,Upper-middle
Nicaragua,17.2,Low
Netherlands,3.9,Lower-middle
Norway,2.6,Upper-middle
Nepal,33.7,High
Nauru,33,High
New Zealand,5.3,High
Oman,11.3,High
Pakistan,74.9,Lower-middle
Panama,16.1,High
Peru,15,Low
Philippines,28.1,Low
Palau,15.3,Upper-middle
Papua New Guinea,53.4,Lower-middle
Poland,4.7,Upper-middle
"Korea, Dem. People’s Rep.",19,High
Portugal,3.7,Upper-middle
Paraguay,21,Upper-middle
West Bank and Gaza,20.9,Upper-middle
French Polynesia,,Lower-middle
Qatar,7.6,High
Romania,7.8,High
Russian Federation,7.6,Lower-middle
Rwanda,37.9,Upper-middle
Saudi Arabia,7.4,High
Sudan,63.2,Lower-middle
Senegal,45.4,Lower-middle
Singapore,2.8,Lower-middle
Solomon Islands,20.6,Lower-middle
Sierra Leone,110.5,Lower-middle
El Salvador,14.5,Upper-middle
San Marino,2.2,Low
Somalia,127.2,Lower-middle
Serbia,5.7,Low
South Sudan,96.4,Low 
Sao Tome and Principe,32.4,Lower-middle
Suriname,19.6,Upper-middle
Slovak Republic,5.6,High
Slovenia,2.1,High
Sweden,2.8,High
Eswatini,53.9,Lower-middle
Sint Maarten (Dutch part),,High
Seychelles,14.2,High
Syrian Arab Republic,17,Low
Turks and Caicos Islands,,High
Chad,123.2,Low
Togo,72.9,Low
Thailand,9.5,Upper-middle
Tajikistan,33.6,Low
Turkmenistan,47.3,Upper-middle
Timor-Leste,47.6,Lower-middle
Tonga,16,Upper-middle
Trinidad and Tobago,26.1,High
Tunisia,13,Lower-middle
Turkey,11.6,Upper-middle
Tuvalu,24.9,Upper-middle
Tanzania,54,Low
Uganda,49,Low
Ukraine,8.8,Lower-middle
Uruguay,8.2,High
United States,6.6,High
Uzbekistan,22.5,Lower-middle
St. Vincent and the Grenadines,16.2,Upper-middle
"Venezuela, RB",30.9,Upper-middle
British Virgin Islands,,High
Virgin Islands (U.S.),,High
Vietnam,20.9,Lower-middle
Vanuatu,26.9,Lower-middle
Samoa,16.5,Upper-middle
Kosovo,,Upper-middle
"Yemen, Rep.",55.4,Low 
South Africa,37.1,Upper-middle
Zambia,60,Lower-middle
Zimbabwe,50.3,Lower-middle
